
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
     160   0.54904E-03 0.97295E-03  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     161   0.60432E-03 0.16313E-02  0.0000        0.00    0.00    0.00
     162   0.59009E-03 0.23136E-02  0.0000        0.00    0.00    0.00
     163   0.58603E-03 0.29879E-02  0.0000        0.00    0.00    0.00
     164   0.58397E-03 0.36586E-02  0.0000        0.00    0.00    0.00
     165   0.57732E-03 0.43333E-02  0.0000        0.00    0.00    0.00
     166   0.57735E-03 0.50000E-02  0.0000        0.00    0.00    0.00
     167   0.57732E-03 0.56667E-02  0.0000        0.00    0.00    0.00
     168   0.58276E-03 0.63396E-02  0.0000        0.00    0.00    0.00
     169   0.58819E-03 0.70161E-02  0.0000        0.00    0.00    0.00
     170   0.58603E-03 0.76854E-02  0.0000        0.00    0.00    0.00
     171   0.58300E-03 0.83581E-02  0.0000        0.00    0.00    0.00
     172   0.53667E-03 0.90225E-02  0.0000        0.00    0.00    0.00
     173   0.12266E-02 0.87802E-02  0.0000        0.00    0.00    0.00
     174   0.19639E-02 0.88431E-02  0.0000        0.00    0.00    0.00
     175   0.26333E-02 0.88365E-02  0.0000        0.00    0.00    0.00
     176   0.33125E-02 0.88349E-02  0.0000        0.00    0.00    0.00
     177   0.39913E-02 0.88404E-02  0.0000        0.00    0.00    0.00
     178   0.46667E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     179   0.53333E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     180   0.60000E-02 0.88453E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     181   0.66667E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     182   0.73333E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     183   0.80000E-02 0.88453E-02  0.0000        0.00    0.00    0.00
     184   0.86667E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     185   0.93333E-02 0.88454E-02  0.0000        0.00    0.00    0.00
     186   0.10000E-01 0.88453E-02  0.0000        0.00    0.00    0.00
     187   0.10667E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     188   0.11333E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     189   0.12000E-01 0.88453E-02  0.0000        0.00    0.00    0.00
     190   0.12667E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     191   0.13333E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     192   0.14000E-01 0.88453E-02  0.0000        0.00    0.00    0.00
     193   0.14667E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     194   0.15333E-01 0.88454E-02  0.0000        0.00    0.00    0.00
     195   0.16000E-01 0.88453E-02  0.0000        0.00    0.00    0.00
     196   0.16685E-01 0.88347E-02  0.0000        0.00    0.00    0.00
     197   0.17359E-01 0.88358E-02  0.0000        0.00    0.00    0.00
